signal_id,symbol,action,signal_time,entry_price,stop_loss,target1,target2,target3,status,outcome,hit_target1,hit_target2,hit_target3,hit_stop_loss,target1_time,target2_time,target3_time,stop_loss_time,target1_minutes,target2_minutes,target3_minutes,stop_loss_minutes,max_profit_pct,max_drawdown_pct,final_outcome
1419632276899102740,BCH,LONG,2025-09-22 10:31:50.305000+00:00,572.1,568.95,576.46,583.11,586.61,CLOSED,ONGOING,False,False,False,True,,,,2025-09-22 13:39:00+00:00,,,,187.16158333333334,0.2796713861213114,-0.5768222338752085,STOP_LOSS
1419598272787382425,IMX,LONG,2025-09-22 08:16:43.093000+00:00,0.7049,0.6954,0.7256,0.7351,0.7656,CLOSED,ONGOING,False,False,False,True,,,,2025-09-22 16:47:00+00:00,,,,510.2817833333333,2.2840119165839132,-1.4044545325578126,STOP_LOSS
1419598270216405102,AVAX,LONG,2025-09-22 08:16:42.480000+00:00,30.777,30.4354,31.2505,31.8373,32.9986,CLOSED,ONGOING,True,False,False,False,2025-09-22 10:19:00+00:00,,,,122.292,,,,1.5693537381811111,-0.6725801735061921,TARGET1
1419575611118194768,DYDX,LONG,2025-09-22 06:46:40.130000+00:00,0.638,0.633,0.653,0.661,0.693,CLOSED,ONGOING,False,False,False,True,,,,2025-09-22 07:06:00+00:00,,,,19.331166666666665,0.0,-0.7836990595611292,STOP_LOSS
1419413623272505507,ETC,LONG,2025-09-21 20:02:59.218000+00:00,19.98,19.55,20.359,20.762,22.103,CLOSED,ONGOING,False,False,False,True,,,,2025-09-22 00:32:00+00:00,,,,269.01303333333334,0.3503503503503518,-3.00300300300301,STOP_LOSS
1419405780381077776,BTC,LONG,2025-09-21 19:31:49.327000+00:00,115471.4,114939.2,116040.68,116869.63,117938.28,CLOSED,ONGOING,False,False,False,True,,,,2025-09-22 00:32:00+00:00,,,,300.17788333333334,0.06411111322803642,-0.5554622183501665,STOP_LOSS
1419202446764539915,BCH,LONG,2025-09-21 06:03:50.815000+00:00,599.16,590.87,606.49,630.83,653.22,CLOSED,ONGOING,False,False,False,True,,,,2025-09-22 00:31:00+00:00,,,,1107.1530833333334,0.524067027171371,-1.528806996461708,STOP_LOSS
1419141614735065239,AAVE,LONG,2025-09-21 02:02:07.329000+00:00,296.11,293.224,298.665,305.02,305.75,CLOSED,ONGOING,True,False,False,False,2025-09-21 06:11:00+00:00,,,,248.87785,,,,0.8915605687075702,-0.10131370098950099,TARGET1
1418975749897064528,SAND,LONG,2025-09-20 15:03:02.070000+00:00,0.30115,0.29949,0.30288,0.30744,0.31002,CLOSED,ONGOING,True,False,False,False,2025-09-20 15:08:00+00:00,,,,4.9655000000000005,,,,0.5811057612485571,0.0,TARGET1
1418975747070103584,DOT,LONG,2025-09-20 15:03:01.396000+00:00,4.399,4.375,4.423,4.473,4.56,CLOSED,ONGOING,True,False,False,False,2025-09-20 15:06:00+00:00,,,,2.9767333333333337,,,,0.5683109797681372,0.0,TARGET1
1418975743857262752,ATOM,LONG,2025-09-20 15:03:00.630000+00:00,4.469,4.451,4.488,4.533,4.583,CLOSED,ONGOING,True,False,False,False,2025-09-20 15:08:00+00:00,,,,4.9895000000000005,,,,0.44752741105391747,0.0,TARGET1
1418952797918990417,XTZ,LONG,2025-09-20 13:31:49.892000+00:00,0.759,0.755,0.766,0.775,0.784,CLOSED,ONGOING,True,False,False,False,2025-09-20 15:04:00+00:00,,,,92.16846666666667,,,,0.9222661396574449,-0.17127799736494964,TARGET1
1418714964901892098,ETH,LONG,2025-09-19 21:46:46.082000+00:00,4468.61,4426.36,4511.06,4556.89,4593.29,CLOSED,ONGOING,False,False,False,True,,,,2025-09-22 00:24:00+00:00,,,,3037.2319666666667,0.8973707707766032,-0.9982970095846286,STOP_LOSS
1418680995598569502,DOT,LONG,2025-09-19 19:31:47.169000+00:00,4.409,4.355,4.458,4.556,4.671,CLOSED,ONGOING,False,False,False,True,,,,2025-09-19 23:22:00+00:00,,,,230.21385,0.29485144023587895,-1.4969380811975468,STOP_LOSS
1418613375088332963,FET,LONG,2025-09-19 15:03:05.183000+00:00,0.6532,0.6456,0.66,0.666,0.7068,CLOSED,ONGOING,False,False,False,True,,,,2025-09-19 15:22:00+00:00,,,,18.913616666666666,0.0,-1.255358236374768,STOP_LOSS
1418601729280442492,RUNE,LONG,2025-09-19 14:16:48.606000+00:00,1.311,1.3012,1.3199,1.336,1.3871,CLOSED,ONGOING,False,False,False,True,,,,2025-09-19 14:46:00+00:00,,,,29.1899,0.22883295194508876,-0.7627765064836011,STOP_LOSS
1418601726209953832,DOT,LONG,2025-09-19 14:16:47.874000+00:00,4.515,4.464,4.562,4.638,4.811,CLOSED,ONGOING,False,False,False,True,,,,2025-09-19 19:32:00+00:00,,,,315.20210000000003,0.0,-2.4363233665559125,STOP_LOSS
1418590407993987082,XTZ,LONG,2025-09-19 13:31:49.401000+00:00,0.777,0.773,0.782,0.785,0.797,CLOSED,ONGOING,False,False,False,True,,,,2025-09-19 13:46:00+00:00,,,,14.17665,0.23166023166023472,-0.6048906048906096,STOP_LOSS
1418025016552980522,LINK,LONG,2025-09-18 00:05:09.577000+00:00,23.988,23.654,24.408,24.851,26.144,CLOSED,ONGOING,True,False,False,False,2025-09-18 09:21:00+00:00,,,,555.8403833333334,,,,1.8009004502251216,-1.2839753209938294,TARGET1
1417994086412980267,ATOM,LONG,2025-09-17 22:02:15.257000+00:00,4.574,4.501,4.65,4.717,4.865,CLOSED,ONGOING,True,False,False,False,2025-09-18 17:12:00+00:00,,,,1149.7457166666668,,,,1.7490161783996518,-0.41539134236991976,TARGET1
1417786355874005042,TRX,LONG,2025-09-17 08:16:48.437000+00:00,0.34091,0.33903,0.34312,0.34577,0.34841,CLOSED,ONGOING,False,False,False,True,,,,2025-09-17 18:44:00+00:00,,,,627.1927166666667,0.49573201138131023,-0.5602651726261967,STOP_LOSS
1417601681239183634,ETH,LONG,2025-09-16 20:02:58.573000+00:00,4488.96,4408.79,4560.29,4691.38,4772.58,CLOSED,ONGOING,True,False,False,False,2025-09-17 22:26:00+00:00,,,,1583.0237833333333,,,,1.6997255489021996,-1.7144282862845746,TARGET1
1417541370360496199,AAVE,LONG,2025-09-16 16:03:19.339000+00:00,293.4,287.884,298.541,307.716,310.945,CLOSED,ONGOING,True,False,False,False,2025-09-16 17:29:00+00:00,,,,85.67768333333333,,,,1.8643490115882848,-0.41240627130196994,TARGET1
1417390543352369212,ATOM,LONG,2025-09-16 06:03:59.378000+00:00,4.477,4.452,4.503,4.556,4.601,CLOSED,ONGOING,False,False,False,True,,,,2025-09-16 06:30:00+00:00,,,,26.010366666666666,0.13401831583648288,-0.6030824212642424,STOP_LOSS
1417390539463987261,MINA,LONG,2025-09-16 06:03:58.451000+00:00,0.1813,0.1789,0.1844,0.1875,0.1937,CLOSED,ONGOING,True,False,False,False,2025-09-16 17:16:00+00:00,,,,672.0258166666666,,,,1.709873138444578,-0.9376723662437834,TARGET1
1417390535764869182,STORJ,LONG,2025-09-16 06:03:57.569000+00:00,0.2537,0.2511,0.2563,0.2601,0.2672,CLOSED,ONGOING,True,False,False,False,2025-09-16 15:56:00+00:00,,,,592.0405166666666,,,,1.0248324793062638,-0.9854158454867965,TARGET1
